日期,證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
20260813,2345,智邦,2270.0,0.66,114,35.66,18.38,2026Q2
20260813,2347,聯強,91.5,4.59,114,12.52,1.76,2026Q2
20260813,2348,海悅,69.8,7.88,114,16.82,1.52,2026Q1
20260813,2351,順德,173.0,0.6,114,44.25,4.1,2026Q2
20260813,2352,佳世達,28.7,3.48,114,37.27,1.14,2026Q2
20260813,2353,宏碁,31.55,4.12,114,18.78,1.23,2026Q2
20260813,2354,鴻準,62.8,2.39,114,26.61,0.78,2026Q2
20260813,2355,敬鵬,43.1,2.32,114,22.68,0.98,2026Q2
20260813,2356,英業達,68.8,2.91,114,22.19,3.18,2026Q2
20260813,2357,華碩,937.0,4.48,114,13.7,2.31,2026Q2
20260813,2359,所羅門,157.0,0.64,114,23.4,4.21,2026Q2
20260813,2360,致茂,2300.0,0.85,114,58.67,29.53,2026Q2
20260813,2362,藍天,47.9,4.18,114,7.88,0.59,2026Q2
20260813,2363,矽統,54.4,1.1,114,100.74,0.57,2026Q2
20260813,2364,倫飛,81.3,3.69,114,13.73,4.75,2026Q2
20260813,2365,昆盈,31.25,0.96,114,56.82,2.25,2026Q2
20260813,2368,金像電,1010.0,0.97,114,45.6,14.81,2026Q1
20260813,2373,震旦行,53.6,6.9,114,14.33,1.63,2026Q2
20260813,2374,佳能,70.9,2.82,114,21.88,2.68,2026Q2
20260813,2375,凱美,139.5,0.86,114,42.4,1.51,2026Q1
20260813,2376,技嘉,393.5,3.05,114,18.38,4.08,2026Q1
20260813,2377,微星,168.0,2.5,114,14.57,2.44,2026Q2
20260813,2379,瑞昱,758.0,3.3,114,27.48,7.75,2026Q2
20260813,2382,廣達,325.0,4.8,114,14.16,5.14,2026Q2
20260813,2383,台光電,5690.0,0.44,114,88.98,34.95,2026Q2
20260813,2385,群光,106.0,6.79,114,11.9,1.73,2026Q2
20260813,2387,精元,36.95,10.83,114,12.4,0.68,2026Q2
20260813,2388,威盛,76.1,0.07,114,47.56,1.9,2026Q2
20260813,2393,億光,65.2,6.9,114,13.9,1.5,2026Q2
20260813,2395,研華,698.0,1.6,114,44.21,10.96,2026Q2
20260813,2397,友通,65.9,3.72,114,24.14,2.24,2026Q2
20260813,2402,毅嘉,55.3,3.62,114,33.11,2.34,2026Q2
20260813,2404,漢唐,1130.0,3.54,114,17.04,11.91,2026Q2
20260813,2408,南亞科,514.0,0.26,114,19.95,5.5,2026Q2
