資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140204,6170,統振,23.75,2.73,5.75,2.57,113Q3
1140204,6171,大城地產,7.76,1.5,3.82,1.89,113Q3
1140204,6173,信昌電,16.05,1.20560747,2.97,0.99,113Q3
1140204,6174,安碁,37.37,0.14,0.63,1.67,113Q3
1140204,6175,立敦,14.18,1.0458208,2.7,1.53,113Q3
1140204,6180,橘子,5.7,3.28,4.46,1.83,113Q3
1140204,6182,合晶,775.0,0.65,2.8,0.89,113Q3
1140204,6185,幃翔,166.11,0.52,3.48,1.03,113Q3
1140204,6186,新潤,14.96,3.50003678,5.89,3.14,113Q3
1140204,6187,萬潤,38.67,1.47283335,0.38,6.14,113Q3
1140204,6188,廣明,32.92,3.2,3.34,2.9,113Q3
1140204,6190,萬泰科,16.18,1.16267033,3.46,1.82,113Q3
1140204,6194,育富,11.78,1.8,5.13,0.89,113Q3
1140204,6195,詩肯,24.48,2.0,6.05,1.28,113Q3
1140204,6199,天品,126.92,0.0,0.0,10.1,113Q3
1140204,6203,海韻電,21.76,4.99707959,6.96,2.06,113Q3
1140204,6204,艾華,34.84,17.43,31.07,3.91,113Q3
1140204,6207,雷科,27.3,1.5,2.75,2.26,113Q3
1140204,6208,日揚,13.5,0.0,0.0,1.57,113Q3
1140204,6212,理銘,7.72,3.5,5.91,1.85,113Q3
1140204,6219,富旺,24.48,0.0,0.0,2.86,113Q3
1140204,6221,晉泰,19.42,2.49286305,3.55,2.48,113Q3
1140204,6223,旺矽,37.75,7.5,1.01,8.08,113Q3
1140204,6227,茂綸,13.69,2.5,3.53,2.14,113Q3
1140204,6229,研通,34.63,0.5,1.76,1.54,113Q3
1140204,6231,系微,60.2,4.5,1.13,17.02,113Q3
1140204,6233,旺玖,83.06,0.20916259,0.81,1.65,113Q3
1140204,6234,高僑,30.24,0.65,2.59,0.9,113Q3
1140204,6240,松崗,22.91,0.0,0.0,1.15,113Q3
1140204,6241,易通展,13.19,0.0,0.0,1.83,113Q3
1140204,6242,立康,16.26,2.5,5.96,1.61,113Q3
1140204,6244,茂迪,46.63,0.32,1.6,1.76,113Q3
1140204,6245,立端,18.6,4.25,4.01,2.65,113Q3
