,資料日期,股票代號,名稱,本益比,殖利率,股價淨值比
309,20240613,2542,興富發,45.09,3.05,1.94
310,20240613,2543,皇昌,19.57,3.75,3.64
311,20240613,2545,皇翔,13.16,4.04,1.55
312,20240613,2546,根基,12.17,4.41,2.57
313,20240613,2548,華固,20.92,4.84,2.61
314,20240613,2597,潤弘,16.43,5.12,5.16
315,20240613,2603,長榮,8.62,5.19,0.87
316,20240613,2605,新興,27.04,2.41,1.1
317,20240613,2606,裕民,14.41,4.35,1.24
318,20240613,2607,榮運,12.03,3.44,1.03
319,20240613,2608,嘉里大榮,12.34,5.77,1.66
320,20240613,2609,陽明,23.51,2.76,0.87
321,20240613,2610,華航,16.09,3.02,1.79
322,20240613,2611,志信,9.17,7.02,1.87
323,20240613,2612,中航,32.41,2.16,0.76
324,20240613,2613,中櫃,40.69,1.35,1.95
325,20240613,2615,萬海,248.24,1.78,1.09
326,20240613,2616,山隆,96.54,1.71,0.7
327,20240613,2617,台航,8.08,4.45,0.91
328,20240613,2618,長榮航,8.97,4.97,1.96
329,20240613,2630,亞航,88.3,1.36,2.41
330,20240613,2633,台灣高鐵,21.44,3.42,2.28
331,20240613,2634,漢翔,20.11,2.67,2.78
332,20240613,2636,台驊投控,9.2,6.53,1.57
333,20240613,2637,慧洋-KY,10.52,3.99,1.06
334,20240613,2642,宅配通,32.89,2.13,1.61
335,20240613,2645,長榮航太,20.37,4.05,3.52
336,20240613,2701,萬企,24.72,2.14,0.71
337,20240613,2704,國賓,13.51,1.45,0.68
338,20240613,2706,第一店,26.69,2.22,0.78
339,20240613,2707,晶華,19.72,4.97,8.05
340,20240613,2712,遠雄來,125.83,1.39,2.54
341,20240613,2722,夏都,81.97,0.86,3.48
342,20240613,2723,美食-KY,24.22,3.88,1.43
343,20240613,2727,王品,14.93,6.26,5.61
344,20240613,2731,雄獅,8.81,5.21,3.53
345,20240613,2748,雲品,21.76,2.84,2.69
346,20240613,2753,八方雲集,19.02,4.23,3.41
347,20240613,2762,世界健身-KY,29.17,6.38,2.62
348,20240613,2801,彰銀,14.72,4.81,1.01
349,20240613,2809,京城銀,9.4,4.8,1.32
350,20240613,2812,台中銀,12.96,5.22,1.22
351,20240613,2820,華票,16.87,4.76,0.81
352,20240613,2832,台產,9.01,4.59,0.87
353,20240613,2834,臺企銀,14.17,7.87,1.14
354,20240613,2836,高雄銀,25.65,5.08,0.86
355,20240613,2838,聯邦銀,14.19,5.71,0.87
356,20240613,2845,遠東銀,13.97,6.45,1.05
357,20240613,2849,安泰銀,14.02,2.66,0.83
358,20240613,2850,新產,8.88,5.31,1.61
359,20240613,2851,中再保,8.4,5.32,1.02
360,20240613,2852,第一保,9.02,4.62,0.88
361,20240613,2855,統一證,9.7,4.77,1.19
362,20240613,2880,華南金,15.49,5.15,1.58
363,20240613,2881,富邦金,13.51,3.28,1.24
364,20240613,2882,國泰金,11.48,3.44,1.09
365,20240613,2883,開發金,11.88,3.29,0.96
366,20240613,2884,玉山金,20.5,4.88,1.83
367,20240613,2885,元大金,13.5,4.06,1.36
368,20240613,2886,兆豐金,16.72,4.56,1.57
