公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
3374,精材,晶圓級尺寸封裝需求較去年同期減少。,-35.58,218260,-49.76,279862,140592,-52.37,753549,358852
3438,類比科,-,-7.34,73038,-3.74,70306,67670,-9.08,154774,140708
3527,聚積,-,-13.48,230482,24.54,160112,199408,2.91,417703,429889
3529,力旺,-,-79.42,286201,-11.56,66604,58900,4.65,329763,345101
3555,重鵬,因108年2月工作天數較少，加上107年2月生技接到首張大單所致。,-13.41,11188,-52.86,20553,9687,-38.52,33959,20875
3556,禾瑞亞,-,-51.77,128520,-5.21,65394,61985,6.4,179034,190505
3567,逸昌,-,-14.97,32006,-15.88,32351,27213,-13.49,68460,59219
3581,博磊,本公司受惠於客戶於2月驗收機台，致本公司2月營收較去年同期大幅增加,-22.45,103426,52.66,52530,80197,29.21,142105,183623
3675,德微,-,-7.94,115279,3.97,102061,106115,3.21,214501,221394
3680,家登,-,-52.47,171199,-12.53,93015,81360,16.36,216998,252509
3707,漢磊,-,-11.18,492199,-7.03,470258,437154,-1.87,947088,929353
4923,力士,-,-38.87,71168,6.46,40862,43502,9.56,104659,114670
4945,陞達科技,-,-26.16,41396,5.38,29003,30565,9.91,65469,71961
4951,精拓科,-,2.76,23816,14.49,21377,24475,4.97,46003,48291
4973,廣穎電通,-,-20.67,313302,-40.14,415216,248521,-31.53,820599,561823
5236,凌陽創新,-,-58.03,84133,-11.01,39680,35309,2.05,117041,119442
5272,笙科,-,-31.33,38644,-38.77,43336,26533,-33.73,98354,65177
5274,信驊,-,-22.8,208513,6.18,151588,160961,9.41,337681,369473
5299,杰力,-,-8.9,130664,28.2,92845,119032,14.76,217572,249696
5302,太欣,-,-45.54,4543,-30.93,3582,2474,-46.0,12995,7017
5314,世紀,主因積體電路及子公司營收下降，致本月營收較去年同期減少。,-27.26,6855,-51.06,10188,4986,-43.37,20913,11841
5344,立衛,-,-18.02,15434,-2.13,12928,12652,-9.28,30962,28086
5347,世界,-,-16.87,2559239,11.8,1902636,2127290,16.22,4032191,4686529
5351,鈺創,-,3.33,253042,-39.28,430682,261480,-43.92,917505,514523
5425,台半,-,-5.86,785566,21.99,606162,739489,11.95,1362204,1525055
5468,凱鈺,-,-21.03,9532,-16.74,9041,7527,-22.0,21871,17059
5483,中美晶,-,-7.61,5828400,4.86,5134628,5384310,1.93,10999877,11212710
5487,通泰,-,-30.92,23413,49.04,10851,16173,-21.98,50741,39586
6103,合邦,"本期電腦週邊商品較去年同期增加$50,886仟元",-10.21,153776,58.36,87185,138071,25.19,233114,291847
6104,創惟,-,-38.1,173806,-3.23,111166,107569,0.59,279705,281375
6129,普誠,"本月營業收入淨額含少數股權4,744仟元，本年累計營業收入淨額含少數股權11,010仟元。",-23.9,86734,49.81,44055,66002,31.91,115784,152736
6138,茂達,-,-15.49,405961,-0.57,345055,343070,-2.36,767138,749031
6147,頎邦,-,-22.9,1754519,22.66,1102694,1352607,22.82,2529792,3107126
6182,合晶,-,-3.28,713482,6.29,649181,690017,6.54,1317232,1403499
6198,瑞築,因晶圓廠產能滿載，部份產品缺貨，未能供應客戶所需，故使本期營收下降。,-71.18,4783,-61.13,3546,1378,-52.31,12921,6161
6223,旺矽,-,-29.5,466465,10.62,297223,328812,22.97,646701,795277
6229,研通,-,-36.79,99000,47.07,42547,62577,-19.43,200566,161577
6233,旺玖,-,-12.14,26293,3.9,22232,23100,-14.53,57790,49393
